VUTTI INNERWEARS-(25-26),,,,,,
"39/317-3, Y JUNCTION, KADAPA",,,,,,
Stock Summary,,,,,,
1-Apr-25 to 22-Feb-26,,,,,,
,1-VUTTI INNERWEARS - (25-26),,,,,
Particulars,1-Apr-25 to 22-Feb-26,,,,,
,Closing Balance,,,,,
,HSN,GSTRate,MRP,Value,,Value
115,1223-0210-ASSTD-M (8901326161517),,0,999.00,1413.78,999.00
116,1376-BLACK-L (8901326042977),,5,579.00,,579.00
117,1376-BLACK-M (8901326042960),,5,579.00,,579.00
118,1376-BLACK-S (8901326042953),,5,579.00,,579.00
119,1376-BLACK-XL (8901326042984),,5,589.00,,589.00
120,1376-NVBLZ-L (8901326246122),,5,579.00,,579.00
121,1376-NVBLZ-M (8901326246115),,5,579.00,388.32,579.00
122,1376-NVBLZ-XL (8901326246139),,5,589.00,395.04,589.00
123,1376-STGML-L (8901326404294),,5,579.00,,579.00
124,1376-STGML-M (8901326404287),,5,579.00,,579.00
125,1376-STGML-S (8901326404270),,5,579.00,,579.00
126,1376-STGML-XL (8901326404300),,5,589.00,395.04,589.00
127,1376-WHITE-L (8901326042939),,5,579.00,,579.00
128,1376-WHITE-M (8901326042922),,5,579.00,,579.00
129,1376-WHITE-S (8901326042915),,5,579.00,,579.00
130,1376-WHITE-XL (8901326042946),,5,589.00,790.08,589.00
131,1376-WINTG-M (8901326272695),,5,579.00,,579.00
132,1376-WINTG-S (8901326272688),,5,579.00,,579.00
133,1376-WSKIN-L (8901326327258),,5,579.00,,579.00
134,1376-WSKIN-M (8901326327265),,5,579.00,,579.00
135,1376-WSKIN-S (8901326327272),,5,579.00,,579.00
136,1376-WSKIN-XL (8901326327289),,5,589.00,395.04,589.00
137,1406-DASTD-L (8901326030875),,0,499.00,2680.16,499.00
138,1406-DASTD-M (8901326030868),,0,499.00,5691.49,499.00
139,1406-DASTD-S (8901326030851),,0,499.00,6694.96,499.00
140,1406-DKPTD-L (8901326038215),,5,549.00,4050.20,549.00
141,1406-DKPTD-M (8901326038208),,5,549.00,1841.00,549.00
